Pay_Date,Allowances,Overtime_Hours,Overtime_Pay,Gross_Salary,Tax,PF,Deductions,Net_Salary,Payroll_Start_Date,Payroll_End_Date,Employee_id,Department
27-05-2024,16245,7.9,2370,73180,7318,3659,10977,62203,27-04-2024,27-05-2024,EMP0001,Operations
18-01-2024,19706,12.8,3840,66430,6643,3321.5,9964.5,56465.5,19-12-2023,18-01-2024,EMP0002,IT
20-10-2024,10463,22,6600,54262,5426.2,2713.1,8139.3,46122.7,20-09-2024,20-10-2024,EMP0003,Sales
13-07-2024,16525,10.1,3030,99593,9959.3,4979.65,14938.95,84654.05,13-06-2024,13-07-2024,EMP0004,Sales
30-05-2024,12450,9.9,2970,93206,9320.6,4660.3,13980.9,79225.1,30-04-2024,30-05-2024,EMP0005,Operations
30-12-2024,16089,8.5,2550,87933,8793.3,4396.65,13189.95,74743.05,30-11-2024,30-12-2024,EMP0006,IT
02-05-2024,16095,14.3,4290,74563,7456.3,3728.15,11184.45,63378.55,02-04-2024,02-05-2024,EMP0007,HR
05-07-2024,13420,5.4,1620,47705,4770.5,2385.25,7155.75,40549.25,05-06-2024,05-07-2024,EMP0008,IT
28-05-2024,8959,14.6,4380,33873,3387.3,1693.65,5080.95,28792.05,28-04-2024,28-05-2024,EMP0009,Finance
13-04-2024,19615,21.1,6330,82077,8207.7,4103.85,12311.55,69765.45,14-03-2024,13-04-2024,EMP0010,Finance
30-08-2024,15085,0.9,270,71465,7146.5,3573.25,10719.75,60745.25,31-07-2024,30-08-2024,EMP0011,HR
18-08-2024,6313,0.3,90,85157,8515.7,4257.85,12773.55,72383.45,19-07-2024,18-08-2024,EMP0012,Operations
24-07-2024,12847,2.3,690,97117,9711.7,4855.85,14567.55,82549.45,24-06-2024,24-07-2024,EMP0013,HR
16-07-2024,6070,16.1,4830,53369,5336.9,2668.45,8005.35,45363.65,16-06-2024,16-07-2024,EMP0014,Operations
02-12-2024,14166,25.6,7680,105862,10586.2,5293.1,15879.3,89982.7,02-11-2024,02-12-2024,EMP0015,HR
27-03-2024,14930,0.1,30,81193,8119.3,4059.65,12178.95,69014.05,26-02-2024,27-03-2024,EMP0016,Sales
21-05-2024,8285,28.1,8430,103423,10342.3,5171.15,15513.45,87909.55,21-04-2024,21-05-2024,EMP0017,Finance
12-11-2024,13949,3.2,960,93141,9314.1,4657.05,13971.15,79169.85,13-10-2024,12-11-2024,EMP0018,Sales
